year,project_type,project,page_from,page_to,project_label,project_type_label
2005,pre-main gate,UKCEC FRIGATES AND DESTROYERS PROGRAMME,140,141,United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme,Assessment Phase Projects
2007,pre-main gate,UKCEC FRIGATE AND DESTROYER PROGRAMME,179,180,United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme,Assessment Phase Projects
2009,Pre-Main Investment Decision,UKCEC Frigate and Destroyer Programme,329,332,United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme,Assessment Phase Projects
2011,Assessment phase projects,United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme,322,326,United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme,Assessment Phase Projects
2012,Assessment phase projects,United Kingdom Co-operative Engagement Capability Frigates and Destroyers Programme,402,408,United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme,Assessment Phase Projects
2006,pre-main gate,UNITED KINGDOM MILITARY FLYING TRAINING SYSTEM (UKMFTS) - HOLISTIC,175,176,United Kingdom Military Flying Training System,Assessment Phase Projects
2007,pre-main gate,UNITED KINGDOM MILITARY FLYING TRAINING SYSTEM (UKMFTS) - HOLISTIC,197,198,United Kingdom Military Flying Training System,Assessment Phase Projects
2008,pre-main gate,UNITED KINGDOM MILITARY FLYING TRAINING SYSTEM,219,220,United Kingdom Military Flying Training System,Assessment Phase Projects
2010,Post-Main Gate Projects,United Kingdom Military Flying Training System,218,238,United Kingdom Military Flying Training System,D&M Phase
2011,Post-main-gate projects,United Kingdom Military Flying Training System,225,251,United Kingdom Military Flying Training System,D&M Phase
2010,Assessment Phase Projects,Operational Utility Vehicle System,47,50,Utility Vehicles,Assessment Phase Projects
2011,Assessment phase projects,Operational Utility Vehicle System,300,304,Utility Vehicles,Assessment Phase Projects
2013,Concept phase projects,Utility Vehicles,244,245,Utility Vehicles,Concept phase projects
2012,Post-main-gate projects,Warrior Capability Sustainment Programme,333,344,Warrior Capability Sustainment Programme,D&M Phase
2013,Post-main-gate projects,Warrior Capability Sustainment Programme,205,217,Warrior Capability Sustainment Programme,D&M Phase
2014,Post-Main-Gate projects,Warrior Capability Sustainment Programme,191,203,Warrior Capability Sustainment Programme,D&M Phase
2015,Post-Main-Gate projects,Warrior Capability Sustainment Programme,203,215,Warrior Capability Sustainment Programme,D&M Phase
2005,pre-main gate,WATCHKEEPER,152,153,Watchkeeper,Assessment Phase Projects
2006,pre-main gate,WATCHKEEPER,177,178,Watchkeeper,Assessment Phase Projects
2007,post-main gate,WATCHKEEPER,169,174,Watchkeeper,D&M Phase
2008,post-main gate,WATCHKEEPER,181,188,Watchkeeper,D&M Phase
2009,Post-Main Investment Decision Projects,Watchkeeper,281,291,Watchkeeper,D&M Phase
2010,Post-Main Gate Projects,Watchkeeper,239,251,Watchkeeper,D&M Phase
2011,Post-main-gate projects,Watchkeeper,252,271,Watchkeeper,D&M Phase
